Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
Toy Story 3 (2010),http://www.imdb.com/title/tt0435761/,8.3,92,103,"$200,000,000 ",110307189,415004880,1066969703,18-Jun-10,G,Animation Adventure Comedy,USA
Toy Story 4 (2019),http://www.imdb.com/title/tt1979376/,7.8,84,100,"$200,000,000 ",120908065,434038008,1073394593,21-Jun-19,G,Animation Adventure Comedy,USA
Annabelle (2014),http://www.imdb.com/title/tt3322940/,5.4,37,99,"$6,500,000 ",37134255,84273813,257047661,3-Oct-14,R,Horror Mystery Thriller,USA
Annabelle: Creation (2017),http://www.imdb.com/title/tt5140878/,6.5,62,109,"$15,000,000 ",35006404,102092201,306515884,11-Aug-17,R,Horror Mystery Thriller,USA
The Conjuring (2013),http://www.imdb.com/title/tt1457767/,7.5,68,112,"$20,000,000 ",41855326,137400141,319494638,19-Jul-13,R,Horror Mystery Thriller,USA
The Conjuring 2 (2016),http://www.imdb.com/title/tt3065204/,7.3,65,134,"$40,000,000 ",40406314,102470008,320392818,10-Jun-16,R,Horror Mystery Thriller,Canada
Angry Birds (2016),http://www.imdb.com/title/tt7069210/,6.3,43,97,"$73,000,000 ",38155177,107509366,352333929,20-May-16,PG,Animation Action Adventure,Finland
The Angry Birds Movie 2 (2019),http://www.imdb.com/title/tt1985949/,6.4,60,97,"$65,000,000 ",10354073,41667116,147792047,14-Aug-19,PG,Animation Adventure Comedy,Finland
It (2017),http://www.imdb.com/title/tt6095472/,7.3,69,135,"$35,000,000 ",123403419,328828874,701796444,8-Sep-17,R,Horror,Canada
It Chapter Two (2019),http://www.imdb.com/title/tt1396484/,6.6,58,169,"$79,000,000 ",91062152,211593228,473093228,6-Sep-19,R,Drama Fantasy Horror,Canada
Zombieland (2009),http://www.imdb.com/title/tt7349950/,7.6,73,88,"$23,600,000 ",24733155,75590286,102392080,2-Oct-09,R,Adventure Comedy Fantasy,USA
Zombieland: Double Tap (2019),http://www.imdb.com/title/tt1156398/,6.7,55,99,"$42,000,000 ",26803104,73123082,122810399,18-Oct-19,R,Action Comedy Horror,USA
