Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
Undisputed (2002),https://www.imdb.com/title/tt0108656/,6.2,58,None,$20000000,4548750,12764657,14946150,23 August 2002,R,Action Crime Drama,USA
Resident Evil: Degeneration (2008),https://www.imdb.com/title/tt0108656/,6.5,None,None,None,None,None,403117,18 October 2008,R,Animation Action Horror,Japan
Resident Evil: Damnation (2012),https://www.imdb.com/title/tt0108656/,6.5,None,100,None,None,None,2325035,27 October 2012,R,Animation Action Horror,Japan
The Amazing Spider-Man (2012),https://www.imdb.com/title/tt0108656/,6.9,66,136,$230000000,62004688,262030663,757930663,3 July 2012,PG-13,Action Adventure Sci-Fi,USA
The Amazing Spider-Man 2 (2014),https://www.imdb.com/title/tt0108656/,6.6,53,142,$200000000,91608337,202853933,708982323,2 May 2014,PG-13,Action Adventure Sci-Fi,USA
Machete (2010),https://www.imdb.com/title/tt0108656/,6.6,60,105,$10500000,11416164,26593646,45491656,3 September 2010,R,Action Crime Thriller,USA
Machete Kills (2013),https://www.imdb.com/title/tt0108656/,5.6,41,107,$20000000,3837183,8008161,17496820,11 October 2013,R,Action Crime Thriller,USA
21 Jump Street (2012),https://www.imdb.com/title/tt0108656/,7.2,69,109,$42000000,36302612,138447667,201585328,16 March 2012,R,Action Comedy Crime,USA
22 Jump Street (2014),https://www.imdb.com/title/tt0108656/,7.0,71,112,$50000000,57071445,191719337,331333876,13 June 2014,R,Action Comedy Crime,USA
The Arrival (1996),https://www.imdb.com/title/tt0108656/,6.3,56,115,$25000000,4806763,14063331,14063331,31 May 1996,PG-13,Sci-Fi Thriller,USA
Arrival II (1998),https://www.imdb.com/title/tt0108656/,3.8,None,101,CAD6000000,None,None,None,6 November 1998,R,Drama Horror Sci-Fi,Canada
8MM (1999),https://www.imdb.com/title/tt0108656/,6.5,19,123,$40000000,14252888,36663315,96618699,26 February 1999,R,Mystery Thriller,Germany
The Girl with the Dragon Tattoo (2009),https://www.imdb.com/title/tt0108656/,7.8,76,152,$13000000,335502,10095170,104414200,30 April 2010,R,Crime Drama Mystery,Sweden
The Girl Who Played with Fire (2009),https://www.imdb.com/title/tt0108656/,7.2,66,129,EUR4000000,904998,7638241,67153225,27 August 2010,R,Crime Drama Mystery,Sweden
The Girl Who Kicked the Hornet's Nest (2009),https://www.imdb.com/title/tt0108656/,7.3,60,147,EUR4000000,881737,5190196,44276335,12 November 2010,R,Crime Drama Thriller,Sweden
Alone in the Dark (2005),https://www.imdb.com/title/tt0108656/,2.4,9,99,$20000000,2834421,5178569,12693645,28 January 2005,R,Action Horror Sci-Fi,Canada
BloodRayne (2005),https://www.imdb.com/title/tt0108656/,2.9,18,95,$25000000,1550000,2405420,3650275,6 January 2006,R,Action Adventure Fantasy,Germany
BloodRayne: The Third Reich (2011),https://www.imdb.com/title/tt0108656/,3.0,None,79,$10000000,None,None,None,17 March 2012,R,Action Adventure Fantasy,USA
In the Name of the King: A Dungeon Siege Tale (2007),https://www.imdb.com/title/tt0108656/,3.8,15,127,$60000000,3265000,4775656,13097915,11 January 2008,PG-13,Action Adventure Fantasy,Germany
In the Name of the King: Two Worlds (2011),https://www.imdb.com/title/tt0108656/,3.1,None,96,$4500000,None,None,None,3 April 2014 (South,R,Action Adventure Fantasy,Germany
In the Name of the King: The Last Mission (2014),https://www.imdb.com/title/tt0108656/,3.1,None,86,$3500000,None,None,None,26 February 2014,R,Action Adventure Fantasy,Canada
Cube (1997),https://www.imdb.com/title/tt0108656/,7.2,61,90,CAD365000,57147,501818,565727,11 July 1998,R,Drama Mystery Sci-Fi,Canada
Cube²: Hypercube (2002),https://www.imdb.com/title/tt0108656/,5.6,None,94,None,None,None,3563603,15 April 2003,R,Drama Mystery Sci-Fi,Canada
Cube Zero (2004),https://www.imdb.com/title/tt0108656/,5.7,None,97,CAD1200000,None,None,None,22 February 2005,R,Drama Mystery Sci-Fi,Canada
Bad Ass (2012),https://www.imdb.com/title/tt0108656/,5.5,None,None,None,None,None,None,13 April 2012,R,Action Comedy Crime,USA
12 Rounds (2009),https://www.imdb.com/title/tt0108656/,5.6,38,108,$22000000,5329240,12234694,17280326,27 March 2009,PG-13,Action Crime Thriller,USA
12 Rounds 2: Reloaded (2013),https://www.imdb.com/title/tt0108656/,5.3,None,95,$4000000,None,None,None,4 June 2013,R,Action Adventure Thriller,USA
Insidious (2010),https://www.imdb.com/title/tt0108656/,6.8,52,103,$1500000,13271464,54009150,99557032,1 April 2011,PG-13,Horror Mystery Thriller,USA
Insidious: Chapter 2 (2013),https://www.imdb.com/title/tt0108656/,6.6,40,106,$5000000,40272103,83586447,161919318,13 September 2013,PG-13,Horror Mystery Thriller,USA
Insidious: Chapter 3 (2015),https://www.imdb.com/title/tt0108656/,6.1,52,97,$10000000,22692741,52218558,112983889,5 June 2015,PG-13,Horror Mystery Thriller,Canada
Monsters (2010),https://www.imdb.com/title/tt0108656/,6.4,63,94,$500000,20508,237301,5060438,3 December 2010,R,Adventure Drama Romance,UK
Monsters: Dark Continent (2014),https://www.imdb.com/title/tt0108656/,4.3,42,119,None,None,None,306004,17 April 2015,R,Action Drama Horror,UK
Divergent (2014),https://www.imdb.com/title/tt0108656/,6.7,48,139,$85000000,54607747,150947895,288885818,21 March 2014,PG-13,Action Adventure Mystery,USA
