,Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
964,The Return of the Living Dead (1985),https://www.imdb.com/title/tt0089907/,7.3,66.0,91,4000000.0,4403169.0,14237880.0,14237880.0,1985-08-16,R,Comedy Horror Sci-Fi,USA
966,Chinatown (1974),https://www.imdb.com/title/tt0071315/,8.1,92.0,130,6000000.0,,29200000.0,29225935.0,1974-06-20,R,Drama Mystery Thriller,USA
968,The Smurfs (2011),https://www.imdb.com/title/tt0472181/,5.4,30.0,103,110000000.0,35611637.0,142614158.0,563749323.0,2011-07-29,PG,Animation Adventure Comedy,USA
970,The Thin Man (1934),https://www.imdb.com/title/tt0025878/,8.0,,91,226408.0,,,1423000.0,2034-05-25,PG,Comedy Crime Mystery,USA
972,Another Thin Man (1939),https://www.imdb.com/title/tt0031047/,7.5,,103,1107000.0,,,2223000.0,2039-11-17,PG,Comedy Crime Mystery,USA
974,The Thin Man Goes Home (1944),https://www.imdb.com/title/tt0037365/,7.4,,100,1401000.0,,,2814000.0,2045-11-21,PG,Comedy Crime Mystery,USA
976,Department Q: The Keeper of Lost Causes (2013),https://www.imdb.com/title/tt2438644/,7.2,62.0,96,5700000.0,,,13656380.0,2016-06-17,R,Crime Mystery Thriller,Denmark
978,The Born Losers (1967),https://www.imdb.com/title/tt0061420/,6.0,,113,400000.0,,,36000000.0,2067-07-12,PG,Action Drama Thriller,USA
980,Caddyshack (1980),https://www.imdb.com/title/tt0080487/,7.3,48.0,98,6000000.0,3142689.0,39846344.0,39846344.0,1980-07-25,R,Comedy Sport,USA
982,Baahubali: The Beginning (2015),https://www.imdb.com/title/tt2631186/,8.1,,159,18026148.0,3575000.0,6738000.0,88500000.0,2015-07-09,PG-13,Action Drama,India
984,Homeward Bound: The Incredible Journey (1993),https://www.imdb.com/title/tt0107131/,6.9,,84,10000000.0,60672.0,41833324.0,41833324.0,1993-02-12,G,Adventure Comedy Drama,USA
986,City Slickers (1991),https://www.imdb.com/title/tt0101587/,6.8,70.0,113,27000000.0,13032121.0,124033791.0,179033791.0,1991-06-07,PG-13,Comedy Western,USA
988,Carrie (1976),https://www.imdb.com/title/tt0074285/,7.4,85.0,98,1800000.0,,33800000.0,33800000.0,1976-11-16,R,Horror,USA
990,Planes (2013),https://www.imdb.com/title/tt1691917/,5.7,39.0,91,50000000.0,22232291.0,90288712.0,239258712.0,2013-08-09,PG,Animation Adventure Comedy,USA
992,The Amityville Horror (1979),https://www.imdb.com/title/tt0078767/,6.3,28.0,117,4700000.0,7843467.0,86432000.0,86432000.0,1979-07-27,R,Horror,USA
994,Airport (1970),https://www.imdb.com/title/tt0065377/,6.6,42.0,137,10000000.0,,100489151.0,100489151.0,1970-03-25,G,Action Drama Thriller,USA
996,Fantasia (1940),https://www.imdb.com/title/tt0032455/,7.7,96.0,125,2280000.0,980798.0,76408097.0,76411401.0,2041-07-21,G,Animation Family Fantasy,USA
998,American Graffiti (1973),https://www.imdb.com/title/tt0069704/,7.4,97.0,110,777000.0,,115000000.0,115000000.0,1973-08-11,PG,Comedy Drama,USA
1000,House (1985),https://www.imdb.com/title/tt0091223/,6.2,44.0,93,3000000.0,5923972.0,19444631.0,19444631.0,1986-02-28,R,Comedy Fantasy Horror,USA
1002,Enthiran (2010),https://www.imdb.com/title/tt1305797/,7.1,,155,18000000.0,,,3889511.0,2010-10-01,PG-13,Action Sci-Fi,India
1004,Up in Smoke (1978),https://www.imdb.com/title/tt0078446/,7.0,57.0,86,2000000.0,,44364244.0,44364244.0,1978-09-15,R,Comedy Music,USA
1006,The Rugrats Movie (1998),https://www.imdb.com/title/tt0134067/,5.9,,79,24000000.0,27321470.0,100494675.0,140894675.0,1998-11-20,G,Animation Adventure Comedy,USA
1008,Hatchet (2006),https://www.imdb.com/title/tt0422401/,5.7,57.0,93,1500000.0,100358.0,175281.0,208550.0,2010-04-02,R,Comedy Horror Thriller,USA
1010,Are We There Yet? (2005),https://www.imdb.com/title/tt0368578/,4.7,27.0,95,32000000.0,18575214.0,82674398.0,97918663.0,2005-01-21,PG,Adventure Comedy Family,USA
1012,Ginger Snaps (2000),https://www.imdb.com/title/tt0210070/,6.8,70.0,108,5000000.0,1430.0,2554.0,2554.0,2001-05-11,PG,Drama Fantasy Horror,Canada
1014,Pee-wee's Big Adventure (1985),https://www.imdb.com/title/tt0089791/,7.0,47.0,91,6000000.0,4545847.0,40940662.0,40940662.0,1985-08-09,PG,Adventure Comedy Family,USA
