Title,url
Cinderella,http://www.imdb.com/title/tt0042332/
A Cinderella Story,http://www.imdb.com/title/tt0356470/
Hellraiser,http://www.imdb.com/title/tt0093177/
Hellbound: Hellraiser II,http://www.imdb.com/title/tt0095294/
Hellraiser III: Hell on Earth,http://www.imdb.com/title/tt0104409/
Hellraiser: Bloodline,http://www.imdb.com/title/tt0116514/
Hellraiser: Revelations,http://www.imdb.com/title/tt1716747/
Candyman,http://www.imdb.com/title/tt0103919/
Candyman: Farewell to the Flesh,http://www.imdb.com/title/tt0112625/
Jeepers Creepers,http://www.imdb.com/title/tt0263488/
Jeepers Creepers 2,http://www.imdb.com/title/tt0301470/
Jeepers Creepers III,http://www.imdb.com/title/tt1139592/
Boogeyman,http://www.imdb.com/title/tt0357507/
Boogeyman 2,http://www.imdb.com/title/tt0900357/
The Boogey Man,http://www.imdb.com/title/tt0080464/
Boogeyman II,http://www.imdb.com/title/tt0085266/
The Prophecy,http://www.imdb.com/title/tt0114194/
Street Kings,http://www.imdb.com/title/tt0421073/
S.W.A.T.,http://www.imdb.com/title/tt0257076/
The Omen,http://www.imdb.com/title/tt0075005/
Damien: Omen II,http://www.imdb.com/title/tt0077394/
The Final Conflict,http://www.imdb.com/title/tt0082377/
Step Up,http://www.imdb.com/title/tt0462590/
Step Up 2: The Streets,http://www.imdb.com/title/tt1023481/
Step Up 3D,http://www.imdb.com/title/tt1193631/
Step Up Revolution,http://www.imdb.com/title/tt1800741/
Save the Last Dance,http://www.imdb.com/title/tt0206275/
The Karate Kid,http://www.imdb.com/title/tt0087538/
The Karate Kid Part II,http://www.imdb.com/title/tt0091326/
The Karate Kid Part III,http://www.imdb.com/title/tt0097647/
The Next Karate Kid,http://www.imdb.com/title/tt0110657/
The Karate Kid,http://www.imdb.com/title/tt1155076/
The Mummy,http://www.imdb.com/title/tt0120616/
The Mummy Returns,http://www.imdb.com/title/tt0209163/
The Mummy: Tomb of the Dragon Emperor,http://www.imdb.com/title/tt0859163/
The Scorpion King,http://www.imdb.com/title/tt0277296/
Alvin and the Chipmunks,http://www.imdb.com/title/tt0952640/
Alvin and the Chipmunks: The Squeakquel,http://www.imdb.com/title/tt1231580/
Alvin and the Chipmunks: Chipwrecked,http://www.imdb.com/title/tt1615918/
The Fugitive,http://www.imdb.com/title/tt0106977/
U.S. Marshals,http://www.imdb.com/title/tt0120873/
Mimic,http://www.imdb.com/title/tt0119675/
Analyze This,http://www.imdb.com/title/tt0122933/
Analyze That,http://www.imdb.com/title/tt0289848/
The Whole Nine Yards,http://www.imdb.com/title/tt0190138/
The Whole Ten Yards,http://www.imdb.com/title/tt0327247/
The Addams Family,http://www.imdb.com/title/tt0101272/
Addams Family Values,http://www.imdb.com/title/tt0106220/
Sniper,http://www.imdb.com/title/tt0108171/
Sex and the City,http://www.imdb.com/title/tt1000774/
Sex and the City 2,http://www.imdb.com/title/tt1261945/
Girls on Top,http://www.imdb.com/title/tt0258827/
Mädchen Mädchen 2,http://www.imdb.com/title/tt0385891/
Wayne's World,http://www.imdb.com/title/tt0105793/
Wayne's World 2,http://www.imdb.com/title/tt0108525/
The French Connection,http://www.imdb.com/title/tt0067116/
French Connection II,http://www.imdb.com/title/tt0073018/
The Mask,http://www.imdb.com/title/tt0110475/
Son of the Mask,http://www.imdb.com/title/tt0362165/
The Pink Panther,http://www.imdb.com/title/tt0383216/
The Pink Panther 2,http://www.imdb.com/title/tt0838232/
The Silence of the Lambs,http://www.imdb.com/title/tt0102926/
Hannibal,http://www.imdb.com/title/tt0212985/
Red Dragon,http://www.imdb.com/title/tt0289765/
Hannibal Rising,http://www.imdb.com/title/tt0367959/
Manhunter,http://www.imdb.com/title/tt0091474/
Land of the Dead,http://www.imdb.com/title/tt0418819/
A Nightmare on Elm Street,http://www.imdb.com/title/tt0087800/
A Nightmare on Elm Street 2: Freddy's Revenge,http://www.imdb.com/title/tt0089686/
A Nightmare on Elm Street 3: Dream Warriors,http://www.imdb.com/title/tt0093629/
A Nightmare on Elm Street 4: The Dream Master,http://www.imdb.com/title/tt0095742/
A Nightmare on Elm Street 5: The Dream Child,http://www.imdb.com/title/tt0097981/
Freddy's Dead: The Final Nightmare,http://www.imdb.com/title/tt0101917/
Wes Craven's New Nightmare,http://www.imdb.com/title/tt0111686/
A Nightmare on Elm Street,http://www.imdb.com/title/tt1179056/
Freddy vs. Jason,http://www.imdb.com/title/tt0329101/
Friday the 13th,http://www.imdb.com/title/tt0080761/
Friday the 13th Part 2,http://www.imdb.com/title/tt0082418/
Friday the 13th Part III,http://www.imdb.com/title/tt0083972/
Friday the 13th: The Final Chapter,http://www.imdb.com/title/tt0087298/
Friday the 13th: A New Beginning,http://www.imdb.com/title/tt0089173/
Friday the 13th Part VI: Jason Lives,http://www.imdb.com/title/tt0091080/
Friday the 13th Part VII: The New Blood,http://www.imdb.com/title/tt0095179/
Friday the 13th Part VIII: Jason Takes Manhattan,http://www.imdb.com/title/tt0097388/
Jason Goes to Hell: The Final Friday,http://www.imdb.com/title/tt0107254/
Friday the 13th,http://www.imdb.com/title/tt0758746/
Pirates of the Caribbean: The Curse of the Black Pearl,http://www.imdb.com/title/tt0325980/
Pirates of the Caribbean: Dead Man's Chest,http://www.imdb.com/title/tt0383574/
Pirates of the Caribbean: At World's End,http://www.imdb.com/title/tt0449088/
Pirates of the Caribbean: On Stranger Tides,http://www.imdb.com/title/tt1298650/
Lara Croft: Tomb Raider,http://www.imdb.com/title/tt0146316/
Lara Croft Tomb Raider: The Cradle of Life,http://www.imdb.com/title/tt0325703/
The Godfather,http://www.imdb.com/title/tt0068646/
The Godfather: Part II,http://www.imdb.com/title/tt0071562/
The Godfather: Part III,http://www.imdb.com/title/tt0099674/
Ocean's Eleven,http://www.imdb.com/title/tt0240772/
Ocean's Twelve,http://www.imdb.com/title/tt0349903/
Ocean's Thirteen,http://www.imdb.com/title/tt0496806/
Planet of the Apes,http://www.imdb.com/title/tt0063442/
Beneath the Planet of the Apes,http://www.imdb.com/title/tt0065462/
Escape from the Planet of the Apes,http://www.imdb.com/title/tt0067065/
Conquest of the Planet of the Apes,http://www.imdb.com/title/tt0068408/
Battle for the Planet of the Apes,http://www.imdb.com/title/tt0069768/
Arthur and the Invisibles,http://www.imdb.com/title/tt0344854/
Arthur et la vengeance de Maltazard,http://www.imdb.com/title/tt0940657/
Arthur 3: la guerre des deux mondes,http://www.imdb.com/title/tt0940656/
Cheaper by the Dozen,http://www.imdb.com/title/tt0349205/
