Title,url,Year-Rel-Type,IMDB Score,Metacritic Score,Rating,Genre,Runtime
Critters,http://www.imdb.com/title/tt0090887/,1986,6.1,52,PG-13,Comedy Horror Sci-Fi,86
Critters 2,http://www.imdb.com/title/tt0094919/,1988,5.5,48,PG-13,Comedy Horror Sci-Fi,86
Critters 3,http://www.imdb.com/title/tt0101627/,1991,4.4,None,PG-13,Comedy Horror Sci-Fi,86
Critters 4,http://www.imdb.com/title/tt0101628/,1992,4.1,None,PG-13,Horror Sci-Fi,87
Dolphin Tale,http://www.imdb.com/title/tt1564349/,2011,6.9,64,PG,Drama Family,113
Dolphin Tale 2,http://www.imdb.com/title/tt2978462/,2014,6.4,58,PG,Drama Family,107
Hot Tub Time Machine,http://www.imdb.com/title/tt1231587/,2010,6.4,63,R,Comedy Sci-Fi,101
Hot Tub Time Machine 2,http://www.imdb.com/title/tt2637294/,2015,5.1,29,R,Comedy Mystery Sci-Fi,93
Paul Blart: Mall Cop,http://www.imdb.com/title/tt1114740/,2009,5.2,39,PG,Action Comedy Crime,91
Paul Blart: Mall Cop 2,http://www.imdb.com/title/tt3450650/,2015,4.4,13,PG,Action Comedy Crime,94
Horrible Bosses,http://www.imdb.com/title/tt1499658/,2011,6.9,57,R,Comedy Crime,98
Horrible Bosses 2,http://www.imdb.com/title/tt2170439/,2014,6.3,40,R,Comedy Crime,108
The Descent,http://www.imdb.com/title/tt0435625/,2005,7.2,71,R,Adventure Horror Thriller,99
The Descent: Part 2,http://www.imdb.com/title/tt1073105/,2009,5.8,None,R,Adventure Horror Thriller,94
Quarantine,http://www.imdb.com/title/tt1082868/,2008,5.9,53,R,Action Horror Sci-Fi,89
Quarantine 2: Terminal,http://www.imdb.com/title/tt1699231/,2011,5.2,None,R,Action Horror Sci-Fi,86
REC,http://www.imdb.com/title/tt1038988/,2007,7.4,69,R,Action Adventure Fantasy,78
[Rec] 2,http://www.imdb.com/title/tt1245112/,2009,6.5,52,R,Action Adventure Fantasy,85
[REC] 3: Genesis,http://www.imdb.com/title/tt1649444/,2012,5,45,R,Action Comedy Horror,80
[REC] 4: Apocalypse,http://www.imdb.com/title/tt1649443/,2014,5.3,53,R,Action Adventure Fantasy,95
V/H/S,http://www.imdb.com/title/tt2105044/,2012,5.8,55,R,Horror Sci-Fi Thriller,116
V/H/S/2,http://www.imdb.com/title/tt2450186/,2013,6,49,R,Horror Sci-Fi Thriller,96
V/H/S Viral,http://www.imdb.com/title/tt3704538/,2014,4.2,38,R,Horror Sci-Fi Thriller,81
Grave Encounters,http://www.imdb.com/title/tt1703199/,2011,6.1,33,Not Rated,Adventure Fantasy Horror,92
Grave Encounters 2,http://www.imdb.com/title/tt2231554/,2012,5.1,None,Not Rated,Action Adventure Fantasy,95
An American Werewolf in London,http://www.imdb.com/title/tt0082010/,1981,7.5,60,R,Comedy Horror,97
An American Werewolf in Paris,http://www.imdb.com/title/tt0118604/,1997,5.1,31,R,Comedy Fantasy Horror,105
The Blues Brothers,http://www.imdb.com/title/tt0080455/,1980,7.9,60,R,Adventure Comedy Crime,133
Blues Brothers 2000,http://www.imdb.com/title/tt0118747/,1998,4.9,None,PG-13,Action Comedy Crime,123
Fantomas,http://www.imdb.com/title/tt0058089/,1964,7,None,Not Rated,Comedy Crime Adventure,100
Fantômas se déchaîne,http://www.imdb.com/title/tt0059168/,1965,6.9,None,Not Rated,Adventure Comedy Crime,94
Fantômas contre Scotland Yard,http://www.imdb.com/title/tt0060400/,1967,6.8,None,PG,Adventure Comedy Crime,104
Carlito's Way,http://www.imdb.com/title/tt0106519/,1993,7.9,65,R,Crime Drama Thriller,144
